Forecast_Date,Customer,Product-ID,Forecast_Week,Forecast_Target_Date,Forecast_Value,Actual_Demand
2012-12-31,IT,ABC123,1,2013-01-07,177.5,0.0
2012-12-31,IT,ABC123,2,2013-01-14,177.5,0.0
2012-12-31,IT,ABC123,3,2013-01-21,177.5,0.0
2012-12-31,IT,ABC123,4,2013-01-28,177.5,0.0
2012-12-31,IT,ABC123,5,2013-02-04,200.0,0.0
2012-12-31,IT,ABC123,6,2013-02-11,200.0,0.0
2012-12-31,IT,ABC123,7,2013-02-18,200.0,0.0
2012-12-31,IT,ABC123,8,2013-02-25,200.0,0.0
2012-12-31,IT,ABC127,1,2013-01-07,235.0,0.0
2012-12-31,IT,ABC127,2,2013-01-14,235.0,0.0
2012-12-31,IT,ABC127,3,2013-01-21,235.0,0.0
2012-12-31,IT,ABC127,4,2013-01-28,235.0,0.0
2012-12-31,IT,ABC127,5,2013-02-04,247.5,0.0
2012-12-31,IT,ABC127,6,2013-02-11,247.5,0.0
2012-12-31,IT,ABC127,7,2013-02-18,247.5,0.0
2012-12-31,IT,ABC127,8,2013-02-25,247.5,0.0
2013-01-14,CN,ABC123,1,2013-01-21,336.0,308.0
2013-01-14,CN,ABC123,2,2013-01-28,1260,168.0
2013-01-14,CN,ABC123,3,2013-02-04,308.0,588.0
2013-01-14,CN,ABC123,4,2013-02-11,0,280.0
2013-01-14,CN,ABC123,5,2013-02-18,553.0,476.0
2013-01-14,CN,ABC123,6,2013-02-25,553.0,336.0
2013-01-14,CN,ABC123,7,2013-03-04,553.0,644.0
2013-01-14,CN,ABC123,8,2013-03-11,553.0,252.0
2013-01-14,CN,ABC123,9,2013-03-18,560.0,700.0
2013-01-14,CN,ABC123,10,2013-03-25,560.0,0.0
2013-01-14,CN,ABC123,11,2013-04-01,560.0,588.0
2013-01-14,CN,ABC123,12,2013-04-08,560.0,784.0
2013-01-14,CN,ABC127,1,2013-01-21,504.0,504.0
2013-01-14,CN,ABC127,2,2013-01-28,924,0.0
2013-01-14,CN,ABC127,3,2013-02-04,504.0,420.0
2013-01-14,CN,ABC127,4,2013-02-11,0,448.0
2013-01-14,CN,ABC127,5,2013-02-18,595.0,448.0
2013-01-14,CN,ABC127,6,2013-02-25,595.0,588.0
2013-01-14,CN,ABC127,7,2013-03-04,595.0,756.0
2013-01-14,CN,ABC127,8,2013-03-11,595.0,504.0
2013-01-14,CN,ABC127,9,2013-03-18,602.0,1344.0
2013-01-14,CN,ABC127,10,2013-03-25,602.0,0.0
2013-01-14,CN,ABC127,11,2013-04-01,602.0,728.0
2013-01-14,CN,ABC127,12,2013-04-08,602.0,728.0
2013-01-28,IT,ABC123,1,2013-02-04,177.5,0.0
2013-01-28,IT,ABC123,2,2013-02-11,177.5,0.0
2013-01-28,IT,ABC123,3,2013-02-18,177.5,0.0
2013-01-28,IT,ABC123,4,2013-02-25,177.5,0.0
2013-01-28,IT,ABC123,5,2013-03-04,200.0,0.0
2013-01-28,IT,ABC123,6,2013-03-11,200.0,0.0
2013-01-28,IT,ABC123,7,2013-03-18,200.0,0.0
2013-01-28,IT,ABC123,8,2013-03-25,200.0,0.0
2013-01-28,IT,ABC127,1,2013-02-04,235.0,0.0
2013-01-28,IT,ABC127,2,2013-02-11,235.0,0.0
2013-01-28,IT,ABC127,3,2013-02-18,235.0,0.0
2013-01-28,IT,ABC127,4,2013-02-25,235.0,0.0
2013-01-28,IT,ABC127,5,2013-03-04,247.5,0.0
2013-01-28,IT,ABC127,6,2013-03-11,247.5,0.0
2013-01-28,IT,ABC127,7,2013-03-18,247.5,0.0
2013-01-28,IT,ABC127,8,2013-03-25,247.5,0.0
2013-02-25,CN,ABC123,1,2013-03-04,280.0,644.0
2013-02-25,CN,ABC123,2,2013-03-11,476,252.0
2013-02-25,CN,ABC123,3,2013-03-18,336.0,700.0
