Date,Material,Planned Production,Machine
2018-01-03,ABC123,490.0,Machine 1
2018-01-04,ABC123,560.0,Machine 1
2018-01-05,ABC123,560.0,Machine 1
2018-01-08,ABC123,490.0,Machine 1
2018-01-09,ABC123,560.0,Machine 1
2018-01-10,ABC123,560.0,Machine 1
2018-01-11,ABC137,,Machine 1
2018-01-12,ABC132,,Machine 1
2018-01-15,ABC132,966.0,Machine 1
2018-01-16,ABC132,,Machine 1
2018-01-17,ABC132,,Machine 1
2018-01-22,ABC127,252.0,Machine 1
2018-01-23,ABC127,,Machine 1
2018-01-24,ABC132,,Machine 1
2018-01-25,ABC132,,Machine 1
2018-01-26,ABC132,,Machine 1
2018-01-27,,,Machine 1
2018-01-29,,,Machine 1
2018-01-30,ABC132,233.0,Machine 1
2018-01-31,ABC132,300.0,Machine 1
2018-02-01,ABC132,300.0,Machine 1
2018-02-02,ABC132,300.0,Machine 1
2018-02-05,ABC132,300.0,Machine 1
2018-02-06,ABC132,300.0,Machine 1
2018-02-07,ABC132,300.0,Machine 1
2018-02-08,,,Machine 1
2018-02-12,HOLIDAY,,Machine 1
2018-02-13,ABC132,126.0,Machine 1
2018-02-14,ABC132,210.0,Machine 1
2018-02-15,ABC132,84.0,Machine 1
2018-02-16,ABC132,448.0,Machine 1
2018-02-19,,,Machine 1
2018-02-20,ABC123,540.0,Machine 1
2018-02-21,ABC123,540.0,Machine 1
2018-02-22,ABC123,540.0,Machine 1
2018-02-23,ABC123,480.0,Machine 1
2018-02-26,ABC123,540.0,Machine 1
2018-02-27,ABC123,540.0,Machine 1
2018-02-28,ABC123,480.0,Machine 1
2018-03-05,ABC127,168.0,Machine 1
2018-03-06,ABC127,210.0,Machine 1
2018-03-07,ABC127,84.0,Machine 1
2018-03-08,ABC127,168.0,Machine 1
2018-03-09,ABC127,160.0,Machine 1
2018-03-12,ABC132,240.0,Machine 1
2018-03-13,,,Machine 1
2018-03-14,,,Machine 1
2018-03-15,,,Machine 1
2018-03-19,,,Machine 1
2018-03-20,,,Machine 1
2018-03-21,,,Machine 1
2018-03-22,,,Machine 1
2018-03-23,ABC127,110.0,Machine 1
2018-03-26,,,Machine 1
2018-03-27,,,Machine 1
2018-03-28,,,Machine 1
2018-03-29,,,Machine 1
2018-03-30,HOLIDAY,,Machine 1
2018-04-02,HOLIDAY,,Machine 1
2018-04-03,ABC128,,Machine 1
2018-04-04,ABC128,,Machine 1
2018-04-05,ABC123,,Machine 1
2018-04-06,,,Machine 1
2018-04-09,ABC132,240.0,Machine 1
2018-04-10,ABC132,360.0,Machine 1
2018-04-11,ABC132,360.0,Machine 1
2018-04-12,ABC132,360.0,Machine 1
2018-04-13,ABC132,,Machine 1
2018-04-16,ABC132,240.0,Machine 1
2018-04-17,ABC132,360.0,Machine 1
2018-04-18,,,Machine 1
2018-04-19,,,Machine 1
2018-04-20,,,Machine 1
2018-05-02,,,Machine 1
2018-05-03,,,Machine 1
2018-05-04,,,Machine 1
2018-05-07,ABC132,240.0,Machine 1
2018-05-08,ABC132,360.0,Machine 1
2018-05-09,ABC123,,Machine 1
2018-05-10,HOLIDAY,,Machine 1
2018-05-14,ABC123,360.0,Machine 1
2018-05-15,ABC123,540.0,Machine 1
2018-05-16,ABC123,540.0,Machine 1
2018-05-17,ABC123,540.0,Machine 1
2018-05-18,ABC123,480.0,Machine 1
2018-05-22,ABC123,360.0,Machine 1
2018-05-23,ABC123,540.0,Machine 1
2018-05-24,ABC123,540.0,Machine 1
2018-05-25,ABC123,480.0,Machine 1
2018-05-28,ABC137,,Machine 1
2018-05-29,ABC137,,Machine 1
2018-05-30,ABC137,,Machine 1
2018-06-01,ABC132,,Machine 1
2018-06-04,ABC132,240.0,Machine 1
2018-06-05,ABC132,216.0,Machine 1
2018-06-06,ABC132,216.0,Machine 1
2018-06-07,ABC132,216.0,Machine 1
2018-06-08,ABC132,216.0,Machine 1
2018-06-11,ABC123,,Machine 1
2018-06-12,ABC123,540.0,Machine 1
2018-06-13,ABC123,540.0,Machine 1
2018-06-14,ABC123,540.0,Machine 1
2018-06-15,ABC123,480.0,Machine 1
2018-06-18,ABC123,360.0,Machine 1
2018-06-19,ABC123,540.0,Machine 1
2018-06-20,ABC123,540.0,Machine 1
2018-06-21,ABC123,540.0,Machine 1
2018-06-25,ABC127,,Machine 1
2018-06-26,ABC127,168.0,Machine 1
2018-06-27,ABC127,168.0,Machine 1
2018-06-28,ABC132,,Machine 1
2018-06-29,ABC132,240.0,Machine 1
2018-07-02,ABC132,240.0,Machine 1
2018-07-03,ABC132,360.0,Machine 1
2018-07-04,,,Machine 1
2018-07-05,,,Machine 1
2018-07-06,,,Machine 1
2018-07-09,ABC137,,Machine 1
2018-07-10,ABC137,,Machine 1
2018-07-11,ABC132,240.0,Machine 1
2018-07-12,ABC132,360.0,Machine 1
2018-07-13,ABC132,,Machine 1
2018-07-16,ABC137,0.0,Machine 1
2018-07-17,ABC123,540.0,Machine 1
2018-07-18,ABC123,540.0,Machine 1
2018-07-19,ABC123,540.0,Machine 1
2018-07-20,ABC123,480.0,Machine 1
2018-07-23,ABC123,360.0,Machine 1
2018-07-24,ABC123,540.0,Machine 1
2018-07-25,ABC123,540.0,Machine 1
2018-07-26,ABC123,540.0,Machine 1
2018-07-27,ABC123,480.0,Machine 1
2018-07-30,ABC123,360.0,Machine 1
2018-07-31,ABC123,540.0,Machine 1
2018-08-01,ABC123,540.0,Machine 1
